,Target.name
LPGAT1,LPGAT1
EPHX1,EPHX1
SPPL2B,SPPL2B
HOXA6,HOXA6
TMEM216,TMEM216
EBF3,EBF3
UBE2D3,UBE2D3
CRTAP,CRTAP
UXT,UXT
ADSL,ADSL
PAQR8,PAQR8
AQP9,AQP9
MLNR,MLNR
LAX1,LAX1
VNN1,VNN1
ZSCAN16-AS1,ZSCAN16-AS1
PYGM,PYGM
DLG1,DLG1
REG1B,REG1B
EIF3J-DT,EIF3J-DT
RXRG,RXRG
CLEC6A,CLEC6A
ARID1A,ARID1A
LINC01184,LINC01184
MMP21,MMP21
KCNK13,KCNK13
CYLC2,CYLC2
G6PD,G6PD
ABCG2,ABCG2
ABCA3,ABCA3
IL12B,IL12B
MARK2,MARK2
RNF43,RNF43
SPCS3,SPCS3
PIK3CA,PIK3CA
SNHG6,SNHG6
ACSL6,ACSL6
P2RY14,P2RY14
APC,APC
HSPA14,HSPA14
CD300LB,CD300LB
EPHX2,EPHX2
LPCAT1,LPCAT1
NCBP1,NCBP1
KRT5,KRT5
UBE2N,UBE2N
PTPN6,PTPN6
TRPC4,TRPC4
ESPL1,ESPL1
NUP62,NUP62
ZNF274,ZNF274
LZIC,LZIC
ERCC4,ERCC4
FBXO7,FBXO7
CYSLTR1,CYSLTR1
PDE8B,PDE8B
LINC00240,LINC00240
GPR152,GPR152
ADGRE1,ADGRE1
PRSS2,PRSS2
BTK,BTK
P2RX7,P2RX7
EP400,EP400
FANCF,FANCF
BRDT,BRDT
KCNJ12,KCNJ12
MCAM,MCAM
FGFR3,FGFR3
LONRF2,LONRF2
ATP2A1-AS1,ATP2A1-AS1
NAGPA,NAGPA
RAPGEF5,RAPGEF5
ISM1,ISM1
S100A4,S100A4
ZNF599,ZNF599
FKBP9,FKBP9
SCN3A,SCN3A
RAD54L,RAD54L
TUBD1,TUBD1
AMD1,AMD1
IL15RA,IL15RA
CTCFL,CTCFL
KDELR3,KDELR3
GALR3,GALR3
ATP1B2,ATP1B2
ZDHHC4,ZDHHC4
MAP4K3,MAP4K3
IL17D,IL17D
MRTO4,MRTO4
PTPRS,PTPRS
TTI1,TTI1
HTR7,HTR7
IL17RE,IL17RE
CERS3,CERS3
TCEAL4,TCEAL4
TNFRSF11B,TNFRSF11B
PPP3R2,PPP3R2
GTF2IRD2,GTF2IRD2
FGF2,FGF2
HSPD1,HSPD1
ZNF808,ZNF808
C8orf44-SGK3,C8orf44-SGK3
TMEM71,TMEM71
ITGA4,ITGA4
BNIPL,BNIPL
RPTOR,RPTOR
ADCK2,ADCK2
RECQL4,RECQL4
SLC1A4,SLC1A4
DIXDC1,DIXDC1
SLFN12L,SLFN12L
PLCB3,PLCB3
ZBTB44,ZBTB44
ABCD3,ABCD3
SRP14-AS1,SRP14-AS1
MYCN,MYCN
CXADR,CXADR
SIN3A,SIN3A
DYRK1A,DYRK1A
TUBA1C,TUBA1C
ART1,ART1
AFDN,AFDN
PATL2,PATL2
PDE4B,PDE4B
PRKAR1B,PRKAR1B
THY1,THY1
UROD,UROD
ZNF385B,ZNF385B
GUK1,GUK1
PIPOX,PIPOX
MS4A5,MS4A5
OR2M2,OR2M2
PRSS23,PRSS23
BCAT2,BCAT2
TMBIM1,TMBIM1
E2F3,E2F3
CLTA,CLTA
CBFB,CBFB
PAK6,PAK6
SERPINB6,SERPINB6
EMP1,EMP1
ATP4A,ATP4A
STAT5A,STAT5A
BCL2L2,BCL2L2
MED12L,MED12L
TGFA,TGFA
ZNF512,ZNF512
ACSS2,ACSS2
IVNS1ABP,IVNS1ABP
CNTN3,CNTN3
GABRP,GABRP
IDH2,IDH2
MMP2,MMP2
ATG4A,ATG4A
PDCD10,PDCD10
PSAP,PSAP
CHRNA5,CHRNA5
FBXL12,FBXL12
MS4A1,MS4A1
EML3,EML3
WAC-AS1,WAC-AS1
IGSF23,IGSF23
CD14,CD14
SCN3B,SCN3B
MCCC2,MCCC2
KIR2DL4,KIR2DL4
H4C9,H4C9
LIMS1,LIMS1
ZNF503-AS2,ZNF503-AS2
SLC4A1,SLC4A1
EXOC3,EXOC3
ZNF653,ZNF653
SAMD9L,SAMD9L
RNF14,RNF14
SLC7A4,SLC7A4
RAI2,RAI2
UGT1A9,UGT1A9
ZNF551,ZNF551
CDC42BPG,CDC42BPG
NRIP3,NRIP3
CD27,CD27
RAC1,RAC1
TNFRSF10C,TNFRSF10C
SLCO2B1,SLCO2B1
CREB5,CREB5
DVL3,DVL3
TACC3,TACC3
TPMT,TPMT
KMT2B,KMT2B
BCL2L14,BCL2L14
ELF4,ELF4
BCL9L,BCL9L
MPP1,MPP1
PHC3,PHC3
GPRC5B,GPRC5B
MSH2,MSH2
PDK1,PDK1
ATXN3,ATXN3
CRP,CRP
XRCC4,XRCC4
POU2F1,POU2F1
PANX3,PANX3
KCTD2,KCTD2
MTHFD2,MTHFD2
GCDH,GCDH
TSC2,TSC2
TGM2,TGM2
PRDM4,PRDM4
PPFIA1,PPFIA1
ADGRL4,ADGRL4
ATP9A,ATP9A
H6PD,H6PD
RAC2,RAC2
UBB,UBB
STATH,STATH
CKS2,CKS2
AGPAT2,AGPAT2
WRAP53,WRAP53
STX16,STX16
GALNS,GALNS
ZNF670,ZNF670
LIMK2,LIMK2
HIF1AN,HIF1AN
SNX33,SNX33
HDAC11,HDAC11
ST7,ST7
OR2G6,OR2G6
POMK,POMK
C15orf48,C15orf48
FRAT2,FRAT2
SDC2,SDC2
ODC1,ODC1
C4A,C4A
TRIM46,TRIM46
ZNF148,ZNF148
ITSN1,ITSN1
CCKAR,CCKAR
PMPCB,PMPCB
ASGR2,ASGR2
UBA7,UBA7
EQTN,EQTN
PURA,PURA
C22orf46,C22orf46
GJB2,GJB2
MPZ,MPZ
NFE2L2,NFE2L2
ANPEP,ANPEP
HAT1,HAT1
KDR,KDR
PPP5C,PPP5C
PIGBOS1,PIGBOS1
GOLGA8A,GOLGA8A
MPO,MPO
EPSTI1,EPSTI1
GRHPR,GRHPR
GSTM5,GSTM5
STAMBPL1,STAMBPL1
SSBP2,SSBP2
CLPB,CLPB
CACNA1D,CACNA1D
PFKFB3,PFKFB3
UBAP2L,UBAP2L
RET,RET
PRDX1,PRDX1
MGME1,MGME1
RDH5,RDH5
THAP12,THAP12
SPP1,SPP1
GRN,GRN
SYPL2,SYPL2
LINC02323,LINC02323
RPL21,RPL21
